time,buy(度),sub(度),total(度)
2026-08-22T10:27:32+00:00,82.95,0.0,82.95
2026-08-22T10:56:36+00:00,82.79,0.0,82.79
2026-08-22T11:25:10+00:00,82.75,0.0,82.75
2026-08-22T11:46:08+00:00,82.72,0.0,82.72
2026-08-22T12:01:23+00:00,82.52,0.0,82.52
2026-08-22T12:58:00+00:00,81.53,0.0,81.53
2026-08-22T13:38:09+00:00,81.11,0.0,81.11
2026-08-22T13:57:51+00:00,80.87,0.0,80.87
2026-08-22T14:29:23+00:00,80.54,0.0,80.54
2026-08-22T14:52:22+00:00,80.4,0.0,80.4
2026-08-22T15:21:25+00:00,80.21,0.0,80.21
2026-08-22T15:47:15+00:00,80.05,0.0,80.05
2026-08-22T16:01:18+00:00,79.97,0.0,79.97
2026-08-22T16:37:52+00:00,79.95,0.0,79.95
2026-08-22T16:59:02+00:00,79.23,0.0,79.23
2026-08-22T17:22:07+00:00,78.74,0.0,78.74
2026-08-22T17:50:30+00:00,78.38,0.0,78.38
2026-08-22T18:31:19+00:00,78.13,0.0,78.13
2026-08-22T19:01:58+00:00,78.04,0.0,78.04
2026-08-22T19:32:12+00:00,77.95,0.0,77.95
2026-08-22T19:53:34+00:00,77.89,0.0,77.89
2026-08-22T20:23:34+00:00,77.8,0.0,77.8
2026-08-22T20:49:29+00:00,77.74,0.0,77.74
2026-08-22T21:08:42+00:00,77.68,0.0,77.68
2026-08-22T21:34:52+00:00,77.61,0.0,77.61
2026-08-22T21:55:04+00:00,77.56,0.0,77.56
2026-08-22T22:22:34+00:00,77.48,0.0,77.48
2026-08-22T22:48:54+00:00,77.4,0.0,77.4
2026-08-22T23:08:01+00:00,77.34,0.0,77.34
2026-08-22T23:34:14+00:00,77.28,0.0,77.28
2026-08-22T23:54:37+00:00,77.22,0.0,77.22
2026-08-23T01:22:25+00:00,77.01,0.0,77.01
2026-08-23T02:30:06+00:00,76.58,0.0,76.58
2026-08-23T02:46:20+00:00,76.58,0.0,76.58
2026-08-23T02:59:52+00:00,76.09,0.0,76.09
2026-08-23T03:37:27+00:00,76.01,0.0,76.01
2026-08-23T04:22:18+00:00,75.65,0.0,75.65
